group_name,group_metric,group_threshold,num_videos,frame_by_frame_p_mAP_mean,flexible_sliding_p_mAP_mean,p_mAP_delta,frame_by_frame_fps,flexible_sliding_fps,fps_gain,speed_ratio,frame_by_frame_delay,flexible_sliding_delay,delay_delta,frame_by_frame_step,flexible_sliding_step,flexible_sliding_skipped_window_ratio,frame_by_frame_processed_windows,flexible_sliding_processed_windows,processed_windows_reduction
action_sparse,action_density,3.6037161935778537,100,0.007523385114669145,0.005728791637907674,-0.0017945934767614712,10.742728095434487,14.049967998565245,3.3072399031307587,1.3078584763339856,2.8669902912621366,3.19957264957265,0.33258235831051364,1.0,2.38463428869843,0.18841902140581293,200553,162765,0.1884190214058129
action_dense,action_density,3.6037161935778537,100,0.025206729234291014,0.017650947685569077,-0.007555781548721937,10.741962005922563,14.317860444869044,3.5758984389464814,1.3328906243547423,2.994793779580796,2.9412698412698437,-0.05352393831095226,1.0,2.5447752028795194,0.20366079354809588,132922,105851,0.20366079354809585
low_background,background_ratio,0.7096927287258603,100,0.01731334706795065,0.014023823609151585,-0.0032895234587990638,10.74262902999475,14.073937585930938,3.3313085559361877,1.3101017959974939,3.0889330682571203,3.057582417582418,-0.03135065067470233,1.0,2.39256159925616,0.1898087115607092,185845,150570,0.18980871156070922
high_background,background_ratio,0.7096927287258603,100,0.018627152611134762,0.009489378484142384,-0.009137774126992378,10.742163038647545,14.259611549079883,3.517448510432338,1.3274432251472503,2.3440860215053756,2.632075471698112,0.2879894501927365,1.0,2.518120054893855,0.20039287407708462,147630,118046,0.20039287407708462
short_duration,duration_seconds,173.26666666666665,100,0.02219497563660127,0.01778228086315345,-0.004412694773447821,10.739729031837896,15.27320442643333,4.533475394595433,1.4221219530917362,3.2679611650485443,2.9123993558776173,-0.35556180917092695,1.0,2.9947683370660694,0.2536272576495632,76573,57152,0.2536272576495632
long_duration,duration_seconds,173.26666666666665,100,0.013271056767200326,0.01111729586126572,-0.002153760905934606,10.74322562813831,13.85346303794872,3.1102374098104093,1.289506849941248,2.816752136752137,3.0150659133709965,0.19831377661885963,1.0,2.2998950175916466,0.17686900063059066,256902,211464,0.17686900063059063
ambiguous_light,ambiguous_ratio,0.0,100,0.017844146002190992,0.013927108654120165,-0.003917037348070827,10.742400618408407,14.570860150219689,3.8284595318112817,1.356387707720633,2.3270758122743715,2.6450314465408806,0.3179556342665091,1.0,2.627711970074813,0.21745600019514813,163978,128320,0.2174560001951481
ambiguous_rich,ambiguous_ratio,0.0,100,0.013209444942218129,0.009025542794299547,-0.004183902147918582,10.742444130984843,13.775660836803008,3.0332167058181643,1.2823581550747227,3.5333333333333314,3.274549549549548,-0.2587837837837834,1.0,2.2831299538119403,0.17228033534516835,169497,140296,0.1722803353451684
